test,value
Cochran-Armitage Z,-8.139290509865438
Cochran-Armitage p,3.976009107182728e-16
Weighted r,-0.6281563459471877
System Pearson r,-0.08021049441920823
System Pearson p,3.596214226715567e-16
Point-biserial r,-0.08021049441920824
Point-biserial p,3.596214226714894e-16
