PWSID,any_pfas_detected,num_pfas_detected,det_11Cl_PF3OUdS,det_4_2_FTS,det_6_2_FTS,det_8_2_FTS,det_9Cl_PF3ONS,det_ADONA,det_HFPO_DA,det_NEtFOSAA,det_NFDHA,det_NMeFOSAA,det_PFBA,det_PFBS,det_PFDA,det_PFDoA,det_PFEESA,det_PFHpA,det_PFHpS,det_PFHxA,det_PFHxS,det_PFMBA,det_PFMPA,det_PFNA,det_PFOA,det_PFOS,det_PFPeA,det_PFPeS,det_PFTA,det_PFTrDA,det_PFUnA,max_4_2_FTS,max_6_2_FTS,max_8_2_FTS,max_9Cl_PF3ONS,max_ADONA,max_HFPO_DA,max_NEtFOSAA,max_NFDHA,max_NMeFOSAA,max_PFBA,max_PFBS,max_PFDA,max_PFDoA,max_PFHpA,max_PFHpS,max_PFHxA,max_PFHxS,max_PFMBA,max_PFMPA,max_PFNA,max_PFOA,max_PFOS,max_PFPeA,max_PFPeS,max_PFUnA,exceeds_pfos,exceeds_pfoa,exceeds_pfhxs,exceeds_pfna,exceeds_hfpo_da,exceeds_any_mcl,hi_component_count,hazard_index,exceeds_hi,exceeds_hi_total,first_sample_date,last_sample_date,num_sample_events,num_samples,system_size,primary_water_type,state,epa_region,treatment_codes_str,treat_gac,treat_iex,treat_nro,treat_pac,treat_mfl,treat_oth,pfas_occurrence,POPULATION_SERVED_COUNT,GW_SW_CODE,OWNER_TYPE_CODE,PRIMARY_SOURCE_CODE,IS_WHOLESALER_IND,is_purchased,exceeds_both_pfos_pfoa,any_regulated_detected,exceeds_any_npdwr,entry_quarter,has_pfas_treatment
IL0313330,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-01-13,2025-10-13,4,4,L,SW,IL,5,"CON,NMT",0.0,0.0,0.0,0.0,0.0,0.0,Yes,12475,SW,L,SW,N,0,0,0,0,2025Q1,0
IL0313360,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-09-04,2025-06-04,4,4,L,SW,IL,5,CWL,0.0,0.0,0.0,0.0,0.0,0.0,DK,10970,SW,L,SWP,N,1,0,0,0,2024Q3,0
IL0314030,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-12-12,2024-09-24,4,7,L,SW,IL,5,"NMT,NTU",0.0,0.0,0.0,0.0,0.0,0.0,Yes,73320,SW,L,SWP,N,1,0,0,0,2023Q4,0
IL0314120,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-04-16,2025-01-22,4,7,L,SW,IL,5,"CON,DKN,NMT",0.0,0.0,0.0,0.0,0.0,0.0,No,41500,SW,L,SWP,N,1,0,0,0,2024Q2,0
IL0314180,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-10-15,2025-07-08,4,4,L,SW,IL,5,"CON,NMT",0.0,0.0,0.0,0.0,0.0,0.0,Yes,43212,SW,L,SWP,N,1,0,0,0,2024Q4,0
IL0314400,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-11-19,2025-08-13,4,5,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,34700,SW,L,SWP,N,1,0,0,0,2024Q4,0
IL0314480,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-12-19,2025-09-26,4,8,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,37470,SW,L,SWP,N,1,0,0,0,2024Q4,0
IL0314710,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-03-14,2024-12-06,4,7,L,SW,IL,5,NTU,0.0,0.0,0.0,0.0,0.0,0.0,DK,12840,SW,L,SWP,N,1,0,0,0,2024Q1,0
IL0314740,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-01-15,2025-07-16,2,2,L,GW,IL,5,"NMT,SFN",0.0,0.0,0.0,0.0,0.0,0.0,Yes,21975,GW,L,GW,N,0,0,0,0,2025Q1,0
IL0314860,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-03-06,2023-11-28,2,4,S,GW,IL,5,NTU,0.0,0.0,0.0,0.0,0.0,0.0,DK,9700,GW,L,GW,N,0,0,0,0,2023Q1,0
IL0314890,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-05-16,2024-02-06,4,6,L,SW,IL,5,"DFL,GAC,SSF",1.0,0.0,0.0,0.0,0.0,0.0,No,75750,SW,L,SWP,N,1,0,0,0,2023Q2,0
IL0314910,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-05-11,2024-02-08,4,6,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,56703,SW,L,SWP,N,1,0,0,0,2023Q2,0
IL0314970,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-11-14,2024-08-19,4,4,L,SW,IL,5,DKN,0.0,0.0,0.0,0.0,0.0,0.0,DK,39725,SW,L,SWP,N,1,0,0,0,2023Q4,0
IL0315030,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-02-07,2024-11-04,4,4,S,SW,IL,5,"NMT,NTU",0.0,0.0,0.0,0.0,0.0,0.0,Yes,5223,SW,P,SWP,N,1,0,0,0,2024Q1,0
IL0315150,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-11-09,2024-08-08,4,4,L,SW,IL,5,"NMT,NTU",0.0,0.0,0.0,0.0,0.0,0.0,Yes,11187,SW,P,SWP,N,1,0,0,0,2023Q4,0
IL0315350,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-05-30,2024-02-08,4,8,L,SW,IL,5,"DKN,NMT",0.0,0.0,0.0,0.0,0.0,0.0,Yes,30043,SW,P,SWP,N,1,0,0,0,2023Q2,0
IL0315820,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-02-13,2025-11-20,4,5,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,18457,SW,L,SWP,Y,1,0,0,0,2025Q1,0
IL0315860,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-02-03,2025-11-03,4,4,S,SW,IL,5,NTU,0.0,0.0,0.0,0.0,0.0,0.0,No,6600,SW,L,SWP,N,1,0,0,0,2025Q1,0
IL0315880,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-03-13,2024-12-18,4,7,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,10000,SW,L,SWP,N,1,0,0,0,2024Q1,0
IL0316000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-01-08,2024-10-08,4,8,L,SW,IL,5,"CON,GAC,NMT,PAC",1.0,0.0,0.0,1.0,0.0,0.0,Yes,2746388,SW,L,SW,N,0,0,0,0,2024Q1,0
IL0317370,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-01-22,2025-04-15,2,4,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,30000,SW,L,SWP,N,1,0,0,0,2025Q1,0
IL0335030,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,0.004,,,,,0.0046,,,,1,0,0,0,0,1,1.0,0.4,0.0,0.0,2024-03-05,2024-09-03,2,2,L,GW,IL,5,"CWL,GWD,NMT,OTH",0.0,0.0,0.0,0.0,0.0,1.0,Yes,11331,GW,L,GW,Y,0,0,1,1,2024Q1,0
IL0370051,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-01-06,2025-07-08,2,8,S,GW,IL,5,"IEX,NMT,OTH,SFN",0.0,1.0,0.0,0.0,0.0,1.0,Yes,4270,GW,L,GW,N,0,0,0,0,2025Q1,0
IL0370100,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2023-04-18,2023-12-27,2,11,L,GW,IL,5,"IEX,NMT,SFN,SSF",0.0,1.0,0.0,0.0,0.0,0.0,Yes,45000,GW,L,GW,N,0,0,0,0,2023Q2,0
IL0370150,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.003,,,,,,,0.0052,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-01-08,2025-09-09,2,6,S,GW,IL,5,"DFL,INF,NMT,NTU,SSF",0.0,0.0,0.0,0.0,0.0,0.0,Yes,5298,GW,L,GW,N,0,0,0,0,2024Q1,0
IL0370550,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-02-13,2025-05-21,2,20,L,GW,IL,5,"NMT,OTH",0.0,0.0,0.0,0.0,0.0,1.0,Yes,18500,GW,L,GW,N,0,0,0,0,2024Q1,0
IL0374850,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2025-04-08,2025-11-05,2,4,S,GW,IL,5,,,,,,,,,7156,GW,L,GW,N,0,0,0,0,2025Q2,0
IL0375500,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-01-10,2024-07-10,2,6,S,GW,IL,5,SFN,0.0,0.0,0.0,0.0,0.0,0.0,No,6500,GW,S,GWP,N,1,0,0,0,2024Q1,0
IL0390050,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-03-05,2024-09-11,2,2,S,GW,IL,5,"AIR,CWL,POB,SFN",0.0,0.0,0.0,0.0,0.0,0.0,No,7128,GW,L,GW,N,0,0,0,0,2024Q1,0
IL0415030,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-05-08,2024-11-05,2,2,S,GW,IL,5,DKN,0.0,0.0,0.0,0.0,0.0,0.0,DK,4875,GW,L,GWP,N,1,0,0,0,2024Q2,0
IL0430050,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2024-09-17,2025-06-04,4,4,L,SW,IL,5,"CON,NMT,PAC",0.0,0.0,0.0,1.0,0.0,0.0,Yes,38017,SW,L,SWP,N,1,0,0,0,2024Q3,0
