Compound,MCL_UGL,Total_Results,Detections,Exceedances,Exceedance_Rate,Exceedance_Rate_Pct,CI_Lower,CI_Upper,CI_String
PFOS,0.004,64200,4378,4254,0.9716765646413887,97.16765646413887,0.9663336296781625,0.9761924534189536,0.9663-0.9762
PFOA,0.004,64200,4270,4117,0.964168618266979,96.4168618266979,0.9581632319781814,0.9693395561457396,0.9582-0.9693
HFPO-DA,0.01,64206,117,30,0.2564102564102564,25.64102564102564,0.1859156601937761,0.3423924721050348,0.1859-0.3424
PFNA,0.01,64203,173,36,0.20809248554913296,20.809248554913296,0.15426719317963986,0.27460022263202444,0.1543-0.2746
PFHxS,0.01,64190,3170,415,0.1309148264984227,13.09148264984227,0.11961790435030752,0.14310522587774163,0.1196-0.1431
