Source_Water_Type,Num_PWS,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String
GU,230,34859,1330,0.038153704925557246,3.8153704925557244,0.03619302772479492,0.040216165494842124,0.0362-0.0402
MX,386,66199,2228,0.03365609752413178,3.365609752413178,0.032309117274530876,0.035057199521151806,0.0323-0.0351
SW,4739,688132,19712,0.028645666819738073,2.864566681973807,0.028254161425657755,0.029042434996823952,0.0283-0.0290
GW,6124,1138927,32620,0.028640992794094794,2.8640992794094795,0.02833624729854065,0.028948918066147997,0.0283-0.0289
