compound,ucmr5_n_detected,ucmr5_median_raw,ucmr5_median_ngl,manuscript_claim_ngl
PFOS,1336,0.0072499999999999995,7.249999999999999,6.8
PFOA,1288,0.0066,6.6,6.1
