Component,Total_HI_Contribution,Pct_of_Total_HI
PFHxS,829.6699999999997,81.34024392563367
PFNA,93.10000000000002,9.127456349484131
HFPO-DA,90.19,8.842162064016902
PFBS,7.039399999999988,0.6901376608652897
