Period,SampleCount,DetectedCount,DetectionRate,CI_Lower_95,CI_Upper_95
Pre-NPDWR (before 2024-01-23),662304,14010,0.021153428033048267,0.020809638056230505,0.021502772940293617
Post-NPDWR (from 2024-01-23),1201002,23536,0.019596969863497314,0.019350599591574355,0.01984641341985678
