State,Num_PWS,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String
GU,5,4381,329,0.0750970098151107,7.509700981511071,0.067659604939701,0.0832789375152874,0.0677-0.0833
NJ,266,56542,3223,0.057001874712603,5.700187471260302,0.0551207559069684,0.0589431861530963,0.0551-0.0589
MP,2,844,48,0.0568720379146919,5.687203791469194,0.0431615564846739,0.0745981759936569,0.0432-0.0746
PA,390,75665,3861,0.0510275556730324,5.1027555673032445,0.049482253543395,0.0526184451938775,0.0495-0.0526
TX,1153,214143,10605,0.0495229823062159,4.952298230621595,0.0486121148283251,0.0504500120818855,0.0486-0.0505
SC,165,30261,1391,0.04596675589042,4.596675589042001,0.0436643436989608,0.0483844314712353,0.0437-0.0484
FL,407,62075,2745,0.0442207007652033,4.422070076520338,0.0426314143750614,0.0458663967696619,0.0426-0.0459
AZ,154,49417,2170,0.04391201408422203,4.391201408422203,0.04214060387932602,0.04575432990504726,0.0421-0.0458
NC,290,67247,2910,0.0432733058723809,4.327330587238092,0.0417613342420741,0.0448374571104492,0.0418-0.0448
DE,46,9433,393,0.04166224954945404,4.166224954945404,0.03781295440063218,0.045884709868735225,0.0378-0.0459
RI,29,4921,196,0.0398293029871977,3.982930298719772,0.0347146778388386,0.0456618361997042,0.0347-0.0457
MD,83,16590,629,0.0379144062688366,3.791440626883665,0.0351134411339915,0.0409293240325748,0.0351-0.0409
NE,53,12085,418,0.0345883326437732,3.458833264377327,0.0314753727932547,0.0379970901431444,0.0315-0.0380
KS,103,15941,546,0.0342513016749262,3.4251301674926293,0.0315382484600474,0.0371887811016635,0.0315-0.0372
NM,73,15413,526,0.0341270356192824,3.412703561928242,0.0313748289626004,0.0371114166248226,0.0314-0.0371
ND,38,3515,119,0.033854907539118,3.385490753911806,0.0283664864685326,0.0403611311656342,0.0284-0.0404
NN,13,2220,73,0.0328828828828828,3.288288288288288,0.0262341300002177,0.0411454891237342,0.0262-0.0411
MN,196,29209,956,0.0327296381252353,3.2729638125235376,0.0307497684286626,0.0348324034884985,0.0307-0.0348
CT,104,18728,612,0.03267834258863733,3.2678342588637332,0.03022624536301505,0.035322120153806306,0.0302-0.0353
AL,309,61305,1879,0.030650028545795613,3.065002854579561,0.029314694154300006,0.03204418169175741,0.0293-0.0320
CO,178,30855,933,0.030238210986874087,3.023821098687409,0.028385165501242156,0.03220821723934651,0.0284-0.0322
IA,152,17222,519,0.0301358727209383,3.013587272093833,0.0276854367243645,0.0327958810650664,0.0277-0.0328
MA,263,47672,1386,0.0290736700788722,2.9073670078872293,0.0276029700396247,0.0306202622483187,0.0276-0.0306
NV,58,18180,492,0.027062706270627,2.706270627062706,0.0248019763477271,0.029523265904713,0.0248-0.0295
SD,49,6395,170,0.0265832681782642,2.6583268178264268,0.022915776897038,0.0308191991336234,0.0229-0.0308
DC,3,840,21,0.025,2.5,0.016408668996829,0.0379162185176049,0.0164-0.0379
LA,268,39939,972,0.0243371140990009,2.4337114099000976,0.0228709730396304,0.0258947512297214,0.0229-0.0259
GA,255,48110,1155,0.0240074828517979,2.4007482851797963,0.0226771757888134,0.0254138001768222,0.0227-0.0254
OH,347,34135,817,0.0239343782041892,2.393437820418925,0.0223656939995476,0.0256102045148295,0.0224-0.0256
OK,166,30211,713,0.0236006752507364,2.3600675250736485,0.0219484974572475,0.0253739945461525,0.0219-0.0254
VI,3,300,7,0.0233333333333333,2.333333333333333,0.0113475155982957,0.0473725543328789,0.0113-0.0474
CA,719,233415,5438,0.023297560139665403,2.32975601396654,0.022693393378407006,0.023917418008637427,0.0227-0.0239
