Compound,MCL_ug_L,n_systems,exceed_n,exceed_rate,exceed_ci_lo,exceed_ci_hi
PFOS,0.004,10289,1309,12.722324812906988,12.0923287317171,13.3801472072889
PFOA,0.004,10289,1259,12.236368937700457,11.61720705325146,12.883719882221833
PFHxS,0.01,10289,171,1.6619690932063367,1.4323728983521582,1.927647720249414
PFNA,0.01,10289,21,0.20410146758674313,0.1335377635622716,0.3118358444411782
HFPO-DA,0.01,10289,16,0.15550588006609,0.09574473273929361,0.25247397491088536
