Source_Water,n_pws,n_detected,detection_rate,ci_lo,ci_hi
Groundwater,6123,1702,27.796831618487673,26.68887182403217,28.93263469573816
Surface,4738,1893,39.953566905867454,38.56755012963085,41.355861905052045
