Compound,N_Detected,Median_ngL,Mean_ngL,P25_ngL,P75_ngL,P95_ngL,Max_ngL,MCL_ngL,Pct_Above_MCL
PFOS,1336,7.25,11.84,5.2,12.4,31.17,490.0,4.0,97.98
PFOA,1288,6.6,9.08,5.1,9.7,19.46,235.0,4.0,97.75
PFHxS,1021,5.1,8.13,3.7,8.0,22.0,250.2,10.0,16.75
PFNA,83,6.7,11.22,5.0,10.05,26.28,99.8,10.0,25.3
HFPO-DA,47,8.0,19.19,6.25,13.8,88.57,140.0,,
PFBS,1674,4.8,8.41,3.7,7.18,22.24,290.0,,
PFHxA,1778,5.2,7.96,3.92,7.7,19.4,260.0,,
PFPeA,2032,5.5,10.48,4.0,8.9,28.22,358.0,,
