Cluster,N_Compounds,Mean_Det_Rate,Mean_PC1
0,5,11.405263669029814,0.29948348704629574
1,21,0.19284396287406874,0.004405953687803901
2,2,18.500534136156162,0.4594561570603776
3,1,18.38399533844809,0.3189773539654802
