Num_Compounds,Count,Percent
0,4148,40.27575492766288
1,3393,32.94494611127294
2,705,6.845324788814448
3,418,4.058646470531119
4,443,4.301388484318866
5,339,3.291581706961841
6,289,2.8060976793863484
7,232,2.2526458879502864
8,191,1.8545489853383823
9,95,0.9224196523934363
10,30,0.29129041654529564
11,13,0.12622584716962812
12,2,0.01941936110301971
13,1,0.009709680551509855
