Dimension,Eigenvalue,Inertia_Percent,Cumulative_Inertia_Percent
1,0.15731062567744342,18.151226039704643,18.151226039704643
2,0.057018271285880974,6.579031302216903,24.730257341921543
3,0.05105783533913293,5.891288692976758,30.6215460348983
4,0.03903910259325746,4.504511837683463,35.12605787258177
5,0.036929845960758045,4.2611360723950735,39.38719394497684
6,0.03503445901741293,4.042437578932179,43.42963152390902
7,0.03470742124290481,4.00470245110432,47.434333975013345
8,0.03363629856723751,3.8811113731427116,51.315445348156054
9,0.033441117231523314,3.8585904497910737,55.17403579794713
10,0.033321857172634375,3.8448296737654273,59.01886547171255
