Scenario,N_Simulations,Mean_HI_Exceed,Median_HI_Exceed,P5_HI_Exceed,P95_HI_Exceed,Pct_of_PWS
±10% HBWC Variation,10000,231.7848,231.0,210.0,260.0,11.457478991596638
±20% HBWC Variation,10000,237.94,232.0,189.0,303.0,11.761739990113693
