System_Size,Num_PWS,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String,OR,OR_CI_Lower,OR_CI_Upper,OR_CI_String,OR_Note
L,4386,1098356,34181,0.031120146837637343,3.1120146837637344,0.030797039841813957,0.031446533721846456,0.0308-0.0314,1.0,1.0,1.0,1.0000 (ref),Reference
S,5913,829761,21709,0.02616295535702449,2.616295535702449,0.0258216908450721,0.026508607358779867,0.0258-0.0265,0.8364284511107966,0.8221204705342006,0.850985444229371,0.8221-0.8510,vs smallest size
