Compound,UCMR3_N,UCMR3_Detected,UCMR3_Rate_Pct,UCMR3_CI_Lo_Pct,UCMR3_CI_Hi_Pct,UCMR5_N,UCMR5_Detected_MRL_Adj,UCMR5_Rate_Pct_MRL_Adj,UCMR5_CI_Lo_Pct,UCMR5_CI_Hi_Pct,Rate_Diff_Pp,UCMR3_MRL_Applied_ugL,Concordance_Both_Det,Concordance_Only_UCMR3,Concordance_Only_UCMR5,Concordance_Neither,Systems_Tested_Both_Rounds,McNemar_Stat,McNemar_P_Value,McNemar_P_FDR_Adjusted,McNemar_Method,Direction,Manuscript_UCMR3_Rate_Pct,Calculated_vs_Manuscript_Diff_Pp
PFOS,4428,93,2.100271002710027,1.7175860035917017,2.5659936457401273,4589,26,0.56657223796034,0.38694512781516277,0.8288917200570598,-1.5336987647496871,0.04,8,85,18,4313,4424,43.58252427184466,4.064526493152698e-11,1.2193579479458094e-10,asymptotic_chi2,UCMR3 > UCMR5,1.9300000000000002,0.17027100271002696
PFOA,4428,115,2.5971093044263776,2.1681383028710615,3.1082566447703868,4589,33,0.7191109174112007,0.5125130807458542,1.0081459589116426,-1.877998387015177,0.02,16,99,17,4292,4424,57.96551724137931,2.6645352591003757e-14,1.5987211554602254e-13,asymptotic_chi2,UCMR3 > UCMR5,2.3800000000000003,0.21710930442637755
PFHxS,4428,54,1.2195121951219512,0.9359043969084179,1.5876844963290893,4589,19,0.4140335585094792,0.2652272255168741,0.6457874305700743,-0.805478636612472,0.03,7,47,12,4358,4424,20.76271186440678,5.198535351413902e-06,7.797803027120853e-06,asymptotic_chi2,UCMR3 > UCMR5,1.1199999999999999,0.09951219512195128
PFNA,4428,14,0.31616982836495033,0.1884336429620512,0.5300365260761501,4589,5,0.10895619960775767,0.04654827364016683,0.2548219988762331,-0.20721362875719268,0.02,2,12,3,4407,4424,9.0,0.03515625,0.0421875,exact_binomial,UCMR3 > UCMR5,0.27999999999999997,0.036169828364950335
PFBS,4428,8,0.18066847335140018,0.09157666842323367,0.35612569198507177,4589,8,0.1743299193724123,0.08836287191760775,0.34364548279248125,-0.0063385539789878815,0.09,1,7,7,4409,4424,0.0,1.0,1.0,exact_binomial,No change,0.16,0.020668473351400166
PFHpA,4428,84,1.8970189701897018,1.5349192628600656,2.3425086735269196,4589,26,0.56657223796034,0.38694512781516277,0.8288917200570598,-1.3304467322293618,0.01,11,73,15,4325,4424,38.22727272727273,6.296618781931329e-10,1.2593237563862658e-09,asymptotic_chi2,UCMR3 > UCMR5,1.7500000000000002,0.14701897018970164
