,0,1,2,3,4,5,6,7,8,9
11Cl-PF3OUdS__0,1.6479873021779667e-17,-8.814563662307151e-17,7.48099499014998e-18,2.1510571102112408e-16,-1.3010426069826053e-17,-1.4268100589909238e-16,-1.1709383462843448e-16,2.0252896582029223e-16,-1.1275702593849246e-16,2.5326962749261384e-16
4:2 FTS__0,-0.0007251380205814907,0.00010916706195476865,-0.00118687691940312,-0.0038583806236760086,-0.006112932193491807,0.0020318481383452543,-0.005970633515902727,0.0021311775015548213,-0.005689660920623776,0.00048698777910224163
4:2 FTS__1,3.73337309896275,-0.5620466184741512,6.110635819548229,19.86487264099554,31.472431398192718,-10.460970140271352,30.739806656624886,-10.97236736675464,29.293219249831346,-2.5072565807063922
6:2 FTS__0,-0.030610560674233765,0.002566994458107887,-0.03913540245556291,-0.07877548115598165,0.04356489290642782,0.00588804706989129,-0.023659528311359167,-0.007597056928042221,0.0022485320789203413,-0.0022316484099272373
6:2 FTS__1,1.7015771557209796,-0.1426938622674642,2.1754553112248978,4.37896452118167,-2.421681437001813,-0.32730424289060456,1.3151837798133212,0.42230453264287965,-0.1249912035298862,0.1240526756221812
8:2 FTS__0,-0.004610165427220456,0.0010064465870740992,-0.017799214414931038,-0.0071412126252121556,0.005895924838860905,0.004844658711835745,-0.004756354722917705,-0.0038155769018576456,0.004672399428672121,-0.0026325202000515727
8:2 FTS__1,4.743399208066543,-1.0355328934405863,18.313611711522647,7.34759367008098,-6.066317066703842,-4.984669348607781,4.893813374410016,3.9258470743214167,-4.807431772160697,2.7086000338332137
9Cl-PF3ONS__0,-0.0001056302785753414,1.1152854949663749e-05,8.181115155064865e-05,-6.179031479717524e-06,-0.0008540536783937553,-0.0016791211680067908,0.0023763845232564517,-0.005796218690092206,-0.0039127968564618525,-0.003326918958249359
9Cl-PF3ONS__1,1.0877806087622723,-0.1148521002729794,-0.8424912386673523,0.06363166617797526,8.795044780097193,17.291589788131652,-24.472007820494554,59.68946007056912,40.29398202784446,34.260611432053935
ADONA__0,-0.0005873359315204576,2.3007014974784235e-05,-0.00039123716471283214,-0.004796816444316285,0.005195225849912651,-0.00030092408123501497,-5.964047115611902e-05,-0.006829788893574726,-0.0036987184326103444,0.005492545525424266
ADONA__1,2.01573691697754,-0.07896007539369522,1.3427259492951,16.46267403689221,-17.830015116900448,1.032771446796941,0.20468609700844795,23.43983548274856,12.694001660718234,-18.850416243255882
HFPO-DA__0,-0.008618375488192926,8.506172122694231e-05,0.008037664760297328,0.01453171138662716,0.00474841957574965,0.01835147643206663,-0.01898106299905412,-0.007265274292207254,-0.004143109867720161,0.003783313143812789
HFPO-DA__1,1.8799060745735154,-0.018554314170615212,-1.7532370026078092,-3.1697681943765943,-1.0357616487358556,-4.002964603862758,4.140294848219131,1.5847572775257321,0.9037268588056532,-0.8252452414971407
NEtFOSAA__0,-4.9831324035051576e-05,1.2854040022277887e-05,7.505789032422451e-05,0.00026432545179873226,-0.0005133169310184466,-3.96310557713715e-05,-0.000815971132368201,-0.004158647238617462,0.00021444842985315123,-0.0024724064392120685
NEtFOSAA__1,0.5131629749063046,-0.13237090415075517,-0.7729461545576325,-2.7220235026235353,5.286137755626239,0.4081206123314426,8.402870721127956,42.82574926328064,-2.2083899306270602,25.46084151100815
NFDHA__0,-0.0009692122694682321,-5.7871622069058945e-05,-8.496494159810112e-05,-0.0053600815755255864,0.005910636375412309,-0.002468862504025503,0.001991264295281632,0.006147249555334565,-0.0022216804572558514,-0.005658006408809502
NFDHA__1,2.494510078545024,0.14894708730015616,0.21867851843804026,13.795509955008756,-15.212500371217281,6.354234869736011,-5.125016479979777,-15.821483543042113,5.718050076862259,14.56229399467406
NMeFOSAA__0,6.429475115899298e-05,5.8997369196507e-06,2.0561328270175686e-06,5.183898830189628e-05,4.923943422047118e-05,0.00032047002810535507,-0.00030762594496298434,0.002054856281881559,-0.0010794140328275886,-0.007378550505533176
NMeFOSAA__1,-0.6621073474418722,-0.06075549079989795,-0.0211740558514078,-0.533837901533065,-0.5070676936042026,-3.300200349431122,3.167931981229149,-21.160909990816997,11.115805710059195,75.98431310598274
PFBA__0,-0.2705749169841346,-0.02342452395104213,0.031439260144698694,-0.03057010849570406,0.09655754359074617,-0.007061811293681879,0.03510515724583535,0.06607195307241703,0.015576724690404895,-0.015448021965564811
PFBA__1,1.2015070006173467,0.10401825057182204,-0.13960825186283046,0.1357487226703055,-0.4287705818403664,0.03135847106956569,-0.1558869264704114,-0.2933971672090524,-0.06916954450477772,0.0685980309786262
PFBS__0,-0.34131932542927734,-0.009811479822557145,0.05614329656762178,0.013274345402487175,0.019435433761177873,-0.010221514358938312,0.0054928569521865605,-0.004997704839734209,-0.004775990632144848,-0.009565790084206929
PFBS__1,1.7585897143533553,0.050551979372494095,-0.2892687771181224,-0.06839380471711426,-0.10013776355445575,0.052664612512449444,-0.028301010282324734,0.025749823323003757,0.02460747861544115,0.0492861048245439
PFDA__0,-0.00516880224393138,0.0011718750942977607,-0.021274647916492532,0.011090280901302006,0.005318681670813934,-0.0102327470707133,-0.004768691878608908,0.000772680777793027,-0.00031109931935521785,-9.47861218551975e-05
PFDA__1,3.5437308184391663,-0.8034375646506426,14.585898611547368,-7.603496585932897,-3.6464881535101155,7.0155713916808775,3.2694151519745125,-0.5297499412547949,0.21328969334985926,0.06498536514407309
