System_Size,n_systems,n_detected,detection_rate,ci_lo,ci_hi,odds_ratio,or_ci_lo,or_ci_hi
Large,4385,1859,42.394526795895096,40.939099727158656,43.86326816873443,1.8538834219356786,1.707331010555288,2.0130154732034873
Small,5912,1680,28.416779431664413,27.281389889866887,29.580200183809186,1.0,,
