PWS_ID,State,PWS_Name,Source_Water_Type,Total_Results,Detections,Detection_Rate,Detection_Rate_Pct,CI_Lower,CI_Upper,CI_String
GU0000006,GU,GWA NORTHERN WATER SYSTEM,GW,3450,323,0.0936231884057971,9.36231884057971,0.08434949697051179,0.10380088027898339,0.0843-0.1038
NC0392373,NC,BAYLEAF MASTER,GW,6480,264,0.040740740740740744,4.074074074074074,0.03619319551447092,0.04583249740190137,0.0362-0.0458
NJ0251001,NJ,RIDGEWOOD WATER,GW,1140,257,0.22543859649122808,22.54385964912281,0.20212645048894745,0.25059497527489955,0.2021-0.2506
AZ0404032,AZ,PAYSON TOWN OF,GW,1560,242,0.15512820512820513,15.512820512820513,0.1380121751545539,0.17393860042271683,0.1380-0.1739
PA1460073,PA,AQUA PA MAIN SYSTEM,GW,1500,227,0.15133333333333332,15.133333333333333,0.13408910405575744,0.1703589175975869,0.1341-0.1704
NC0326127,NC,BROOKWOOD COMM WTR SYSTEM,GW,1260,216,0.17142857142857143,17.142857142857142,0.15162471359582183,0.1932298947664919,0.1516-0.1932
CA1010007,CA,CITY OF FRESNO,GW,10121,213,0.021045351249876495,2.1045351249876494,0.018425280068371807,0.02402887546133051,0.0184-0.0240
NC0326332,NC,CLIFFDALE WEST,GW,1620,179,0.11049382716049383,11.049382716049383,0.09613896218288293,0.12669163902846675,0.0961-0.1267
PA1090089,PA,NORTHAMPTON BUCKS CO MUN AUTH,GW,1020,172,0.16862745098039217,16.862745098039216,0.14690197637020452,0.192839639911064,0.1469-0.1928
NY5110526,NY,SUFFOLK COUNTY WATER AUTHORITY,GW,14418,171,0.011860174781523096,1.1860174781523096,0.010218571172214572,0.013761833660410963,0.0102-0.0138
FL1170525,FL,EMERALD COAST UTILITIES AUTHORITY,GW,1620,153,0.09444444444444444,9.444444444444445,0.08114729536609866,0.10966047800292944,0.0811-0.1097
PA1460020,PA,AMBLER BORO WATER DEPT,GW,600,146,0.24333333333333335,24.333333333333336,0.21070196752967638,0.2792304915788051,0.2107-0.2792
AL0000314,AL,COLBERT COUNTY RURAL WATER SYSTEM,SW,780,120,0.15384615384615385,15.384615384615385,0.1302271053282284,0.18085819557950605,0.1302-0.1809
NY4303673,NY,Veolia Water NY,SW,2218,116,0.05229936880072137,5.229936880072137,0.043783864368910866,0.06236303647226521,0.0438-0.0624
TX1010013,TX,"CITY OF HOUSTON, TX",SW,2880,115,0.03993055555555555,3.9930555555555554,0.033371000917325776,0.047715838248875285,0.0334-0.0477
TX1270006,TX,HAWLEY WSC,SW,480,114,0.2375,23.75,0.2016080183985512,0.2775603705948714,0.2016-0.2776
AZ0410112,AZ,TUCSON CITY OF,GW,4886,113,0.023127302496930003,2.3127302496930002,0.01927233499498815,0.02773155977330046,0.0193-0.0277
NJ0710001,NJ,LIVINGSTON TWP DIV OF WATER,GW,630,105,0.16666666666666666,16.666666666666664,0.1396032316869801,0.19777064847487733,0.1396-0.1978
