Compound_1,Compound_2,Co_Detection_N
PFOS,PFOA,903
PFOS,PFHxS,734
PFOS,PFNA,64
PFOS,HFPO_DA,29
PFOA,PFHxS,568
PFOA,PFNA,60
PFOA,HFPO_DA,32
PFHxS,PFNA,52
PFHxS,HFPO_DA,7
PFNA,HFPO_DA,0
